player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,adp,htag_rank,htag_total
Walter Clayton Jr.,MEM,"PG,SG",64.0,18.8,0.383,6.2,0.902,1.6,1.0,7.2,1.9,3.8,0.6,0.3,1.6,,273.0,-4.37
Jarred Vanderbilt,LAL,"PF,C",67.0,19.4,0.476,4.1,0.575,1.1,0.4,5.0,5.4,1.4,1.0,0.3,1.0,,274.0,-4.39
Dominick Barlow,PHI,"PF,C",65.0,18.4,0.538,4.6,0.703,1.5,0.3,6.2,3.8,1.0,0.7,0.6,0.6,,275.0,-4.41
Mouhamed Gueye,ATL,"PF,C",70.0,15.7,0.44,4.3,0.698,1.0,0.6,5.0,3.8,0.9,0.8,0.7,0.4,,276.0,-4.43
Harrison Barnes,SA,"SF,PF",64.0,20.2,0.484,6.1,0.814,1.6,1.4,8.6,2.5,1.4,0.4,0.1,0.5,,277.0,-4.44
Thomas Bryant,CLE,C,60.0,13.4,0.506,4.7,0.827,1.0,0.8,6.4,3.6,0.7,0.4,0.5,0.5,,278.0,-4.47
Jordan Walsh,BOS,"SG,SF,PF",67.0,18.4,0.474,4.0,0.747,0.8,0.7,5.1,3.9,0.8,0.7,0.5,0.6,,279.0,-4.48
Kentavious Caldwell-Pope,PHI,"SG,SF",68.0,20.1,0.428,5.5,0.877,1.1,1.0,6.6,1.8,1.7,0.9,0.3,0.7,,280.0,-4.48
Jaxson Hayes,UTA,C,64.0,15.8,0.739,3.4,0.64,1.7,0.0,6.1,3.8,0.8,0.4,0.7,0.5,,281.0,-4.49
Luka Garza,BOS,C,65.0,14.8,0.557,5.2,0.747,1.7,0.7,7.8,3.8,0.9,0.4,0.4,0.7,,282.0,-4.54
Ryan Dunn,PHO,"SF,PF",70.0,20.1,0.44,6.2,0.492,0.6,1.0,6.7,4.1,1.2,0.8,0.5,0.7,,283.0,-4.6
Dean Wade,PHI,"SF,PF",65.0,20.2,0.427,4.4,0.63,0.5,1.2,5.3,3.9,1.3,0.7,0.3,0.3,,284.0,-4.64
Kenrich Williams,OKC,PF,60.0,17.4,0.478,5.8,0.675,0.8,1.0,7.1,3.8,1.6,0.7,0.1,0.7,,285.0,-4.71
AJ Green,MIL,"PG,SG,SF",65.0,22.2,0.425,6.0,0.843,0.5,2.2,7.7,2.2,1.5,0.4,0.1,0.7,,286.0,-4.71
Khris Middleton,WAS,"SF,PF",40.0,16.4,0.441,6.4,0.869,1.6,0.8,7.8,2.7,2.4,0.6,0.1,1.2,,287.0,-4.73
Josh Green,MIN,"SG,SF",68.0,23.2,0.436,5.1,0.738,0.8,1.3,6.3,2.3,1.3,0.9,0.2,0.9,,288.0,-4.77
Steven Adams,HOU,C,55.0,19.8,0.526,4.0,0.518,2.3,0.0,5.4,7.9,1.5,0.6,0.6,1.2,,289.0,-4.82
Landry Shamet,NY,"SG,SF",65.0,22.6,0.446,7.0,0.703,1.1,2.0,9.0,1.8,1.2,0.6,0.1,0.6,,290.0,-4.84
Terance Mann,BKN,"SG,SF",55.0,20.1,0.478,5.4,0.745,1.0,0.8,6.7,2.8,2.2,0.6,0.2,0.8,,291.0,-4.87
Khaman Maluach,PHO,C,60.0,14.1,0.533,3.6,0.71,1.1,0.2,4.8,4.6,0.2,0.2,1.1,0.9,,292.0,-4.88
Craig Porter Jr.,CLE,"PG,SG",60.0,14.9,0.471,3.6,0.662,0.7,0.5,4.3,2.6,2.5,0.7,0.5,0.9,,293.0,-4.94
Hugo González,BOS,SF,72.0,19.2,0.475,4.4,0.489,0.5,0.8,5.2,4.4,0.7,0.8,0.4,0.7,,294.0,-4.95
Josh Minott,BKN,"SF,PF",48.0,11.4,0.496,3.7,0.816,0.9,0.9,5.3,2.2,0.7,0.6,0.4,0.6,,295.0,-4.98
Bub Carrington,WAS,"PG,SG",74.0,20.4,0.413,6.5,0.765,0.9,1.3,7.3,2.7,3.3,0.5,0.2,1.5,,296.0,-5.03
Kyle Kuzma,MIL,"SF,PF",60.0,22.0,0.461,9.1,0.678,2.3,1.1,11.0,4.1,2.0,0.5,0.3,1.6,122.0,297.0,-5.04
Morez Johnson Jr.,DAL,"PF,C",50.0,18.5,0.507,5.2,0.77,2.1,0.2,7.1,4.2,0.6,0.4,0.6,0.7,122.8,298.0,-5.04
Javonte Green,DET,"SG,SF",70.0,14.8,0.438,3.9,0.793,1.1,0.8,5.1,2.5,0.6,0.9,0.3,0.4,,299.0,-5.05
Nikola Jovic,MIA,"PF,C",61.0,18.0,0.416,6.4,0.753,1.7,1.1,7.8,3.1,2.2,0.6,0.3,1.2,,300.0,-5.06
Isaiah Collier,UTA,"PG,SG",65.0,18.0,0.457,5.8,0.706,2.0,0.4,7.1,2.1,4.7,0.7,0.2,1.9,120.0,301.0,-5.06
Taylor Hendricks,MEM,"SF,PF,C",60.0,15.8,0.447,5.0,0.686,1.0,0.9,6.1,3.2,0.8,0.7,0.5,0.7,,302.0,-5.12
Spencer Jones,DEN,"SG,SF",68.0,19.1,0.482,3.9,0.62,0.7,0.8,5.0,3.0,0.7,0.8,0.4,0.5,,303.0,-5.18
Vít Krejcí,POR,"SG,SF",60.0,15.5,0.466,4.4,0.729,0.6,1.3,5.9,1.9,1.5,0.5,0.3,0.6,,304.0,-5.19
Tyus Jones,DEN,PG,72.0,16.8,0.425,4.9,0.861,0.4,1.1,5.5,1.5,3.2,0.6,0.1,0.6,,305.0,-5.31
GG Jackson II,MEM,"SF,PF,C",40.0,15.4,0.462,6.8,0.736,1.8,0.9,8.5,3.1,1.1,0.4,0.5,1.1,,306.0,-5.32
Jock Landale,ATL,C,67.0,15.1,0.519,5.3,0.643,1.3,0.7,7.0,4.0,1.2,0.4,0.4,0.6,,307.0,-5.44
Jose Alvarado,NY,PG,70.0,14.1,0.404,5.1,0.79,0.6,1.1,5.7,1.6,2.6,0.7,0.1,0.9,,308.0,-5.46
Jevon Carter,ORL,"PG,SG",60.0,15.4,0.393,5.9,0.789,0.4,1.5,6.4,1.7,1.7,0.7,0.2,0.6,,309.0,-5.52
Nolan Traoré,BKN,PG,64.0,19.0,0.38,7.4,0.786,1.5,0.9,7.7,1.5,3.3,0.7,0.4,2.0,,310.0,-5.55
Jeremy Sochan,POR,"PF,C",50.0,14.4,0.526,4.8,0.7,1.2,0.3,6.2,3.6,1.3,0.5,0.3,0.8,,311.0,-5.55
Nae'Qwan Tomlin,CLE,PF,65.0,14.4,0.47,4.7,0.765,1.0,0.4,5.6,2.8,0.8,0.6,0.5,0.4,,312.0,-5.56
Julian Strawther,DEN,"SG,SF",68.0,16.9,0.446,6.1,0.82,1.2,1.2,7.6,2.0,1.1,0.5,0.2,0.7,,313.0,-5.59
Tristan Vukcevic,WAS,"PF,C",40.0,10.4,0.486,5.0,0.778,1.6,0.8,6.8,2.5,0.8,0.3,0.5,0.9,,314.0,-5.6
