player,team,pos,rank,value,rank_avg,value_avg,gp,mpg,pts,reb,ast,stl,blk,tpm,tov,fg_pct,fga,ft_pct,fta,z_pts,z_reb,z_ast,z_stl,z_blk,z_tpm,z_fgpct,z_ftpct,z_tov
Royce O'Neale,CHA,PF/SF,126,-0.5896,156,-1.5852,70.4,25.4,8.934,4.444,2.393,0.924,0.41,2.34,1.114,0.418,7.45,0.724,0.51,-0.746,-0.058,-0.339,0.288,-0.277,1.15,-0.977,-0.166,0.536
Kristaps Porziņģis,GSW,C,127,-0.6022,68,1.9314,49.9,25.5,16.888,5.677,2.258,0.643,1.273,1.853,1.293,0.467,12.09,0.83,4.52,-0.188,-0.258,-0.801,-1.339,1.035,-0.156,-0.203,0.474,0.833
Kris Dunn,LAC,PG/SG,128,-0.6471,166,-1.7382,71.4,24.5,6.767,3.191,3.208,1.476,0.247,0.93,1.207,0.461,5.68,0.753,0.79,-1.126,-0.633,0.162,2.278,-0.701,-0.628,-0.21,-0.157,0.369
Zach LaVine,SAC,SF/SG,129,-0.6472,105,0.1765,58.0,32.0,19.866,3.559,3.128,0.745,0.232,2.666,2.227,0.489,14.48,0.847,3.57,0.622,-0.776,-0.231,-0.79,-0.859,0.97,0.3,0.671,-0.555
Keegan Murray,SAC,PF/SF,130,-0.6949,90,0.9552,53.9,33.5,13.346,6.08,1.657,0.917,1.048,1.849,0.948,0.444,11.59,0.805,1.51,-0.509,0.044,-0.994,-0.482,0.769,-0.026,-0.662,0.045,1.121
Caleb Wilson,CHI,PF/SF,131,-0.7363,122,-0.3434,60.6,28.6,13.625,5.198,3.163,0.979,0.579,1.579,1.615,0.47,10.56,0.782,2.7,-0.231,-0.041,-0.146,0.007,-0.041,-0.096,-0.153,-0.152,0.117
Aaron Nesmith,IND,SF/SG,132,-0.79,137,-0.9488,64,29.0,13.626,4.296,1.823,0.732,0.525,2.19,1.219,0.452,10.51,0.839,2.3,-0.111,-0.314,-0.768,-0.61,-0.097,0.707,-0.535,0.396,0.543
Jusuf Nurkić,UTA,C,133,-0.7923,118,-0.2342,60,27.0,11.633,11.402,4.542,1.19,0.725,0.703,2.494,0.491,9.21,0.608,3.1,-0.566,2.453,0.522,0.6,0.277,-1.066,0.218,-2.238,-0.993
Collin Sexton,LAL,PG/SG,134,-0.8152,143,-1.1198,65.0,24.9,16.235,2.537,3.633,0.961,0.161,1.643,2.128,0.485,11.68,0.857,3.8,0.367,-1.059,0.221,0.158,-0.973,0.103,0.171,0.947,-0.749
Tari Eason,HOU,SF/SG,135,-0.888,131,-0.5792,61.3,23.8,10.52,5.904,1.483,1.269,0.579,1.33,1.19,0.448,9.1,0.769,1.36,-0.704,0.275,-0.981,0.915,-0.026,-0.354,-0.522,-0.145,0.652
Ace Bailey,UTA,PF/SF,136,-0.9498,160,-1.6507,68.0,25.5,13.126,4.065,1.829,0.805,0.64,1.789,1.337,0.461,11.26,0.767,1.26,-0.058,-0.305,-0.705,-0.222,0.278,0.37,-0.413,-0.163,0.267
Kelly Oubre,IND,PF/SF,137,-0.9532,119,-0.2398,58.9,31.5,14.188,5.256,1.701,1.331,0.504,1.482,1.342,0.462,11.33,0.758,2.94,-0.204,-0.078,-0.904,0.949,-0.244,-0.248,-0.32,-0.423,0.52
Quentin Grimes,LAL,SG,138,-0.955,168,-1.7938,69.2,27.3,13.111,3.736,3.003,0.873,0.337,1.788,1.66,0.457,9.86,0.814,2.84,-0.021,-0.426,-0.015,0.054,-0.486,0.408,-0.439,0.215,-0.245
Grayson Allen,CHA,SF/SG,139,-1.0644,130,-0.5634,60.0,26.4,13.299,3.081,2.975,1.053,0.311,2.576,1.367,0.425,10.16,0.845,2.47,-0.303,-0.923,-0.255,0.196,-0.664,0.968,-0.996,0.455,0.457
Damian Lillard,POR,PG,140,-1.1121,43,3.0654,43.5,32.0,20.835,4.201,5.845,1.007,0.219,2.739,2.398,0.435,14.88,0.911,5.65,-0.021,-0.937,0.372,-0.761,-1.009,0.328,-0.864,1.801,-0.021
Cedric Coward,MEM,SF/SG,141,-1.1218,145,-1.1627,63.0,24.6,13.118,5.604,2.693,0.651,0.431,1.453,1.564,0.481,9.88,0.843,2.57,-0.231,0.213,-0.33,-0.899,-0.341,-0.174,0.053,0.483,0.104
Jrue Holiday,POR,PG/SG,142,-1.1315,134,-0.6768,60.2,29.2,13.46,4.435,4.861,0.969,0.3,2.094,2.097,0.444,11.25,0.844,1.63,-0.272,-0.368,0.689,-0.045,-0.685,0.452,-0.71,0.299,-0.491
Darius Acuff,SAC,PG/SG,143,-1.1499,133,-0.6616,59.9,31.0,9.943,5.634,2.308,1.061,0.627,1.153,1.178,0.47,7.71,0.782,1.97,-0.834,0.107,-0.59,0.212,0.051,-0.581,-0.11,-0.109,0.705
Anthony Black,ORL,PG/SF/SG,144,-1.2428,164,-1.7239,66.7,26.3,12.21,3.456,3.26,1.22,0.635,1.225,1.757,0.454,9.67,0.747,2.96,-0.261,-0.614,0.067,1.092,0.234,-0.35,-0.484,-0.63,-0.297
Bobby Portis,MIA,C/PF,145,-1.2483,144,-1.1378,62.1,24.2,13.332,6.697,1.688,0.661,0.298,1.693,1.055,0.481,11.12,0.758,1.24,-0.225,0.641,-0.866,-0.895,-0.669,0.074,0.07,-0.189,0.811
Kyle Filipowski,UTA,C/PF,146,-1.2531,184,-2.1328,69.5,20.9,10.246,6.306,2.251,0.808,0.419,0.957,1.389,0.505,7.5,0.737,2.32,-0.529,0.79,-0.439,-0.153,-0.267,-0.626,0.436,-0.612,0.146
Keldon Johnson,SAS,PF/SF,147,-1.2762,190,-2.4664,72.0,22.8,12.593,4.95,1.544,0.583,0.197,1.189,0.911,0.504,9.47,0.79,2.36,-0.021,0.237,-0.814,-0.853,-0.832,-0.28,0.549,-0.073,0.81
Stephon Castle,SAS,PG/SG,148,-1.3693,178,-2.0645,68.5,27.3,15.396,4.6,5.869,1.031,0.285,1.176,2.534,0.469,11.35,0.743,4.81,0.367,-0.041,1.596,0.563,-0.631,-0.371,-0.22,-1.123,-1.508
Andrew Nembhard,IND,PG/SG,149,-1.4279,150,-1.2816,62.1,29.2,13.694,2.985,6.17,0.99,0.166,1.409,2.002,0.456,10.77,0.818,3.03,-0.169,-0.921,1.435,0.108,-0.98,-0.248,-0.464,0.257,-0.447
Santi Aldama,DAL,PF/SF,150,-1.4522,132,-0.6546,57.8,25.6,12.564,6.136,2.736,0.797,0.608,1.648,1.143,0.481,9.92,0.684,1.99,-0.492,0.225,-0.425,-0.649,-0.039,-0.105,0.061,-0.83,0.801
Zion Williamson,NOP,PF/SF,151,-1.4663,127,-0.4979,56.7,28.1,20.338,5.636,3.576,0.978,0.592,0.128,2.11,0.587,13.07,0.709,6.86,0.621,-0.013,-0.056,-0.187,-0.1,-1.698,2.5,-2.186,-0.347
Isaiah Stewart,MEM,C/PF,152,-1.4667,161,-1.7034,63.7,21.7,8.691,5.142,1.435,0.35,1.372,0.616,1.058,0.547,6.11,0.773,1.81,-0.943,0.04,-0.978,-1.824,1.937,-1.12,0.826,-0.177,0.773
